raceId,driverId,milliseconds,time,lap,year,driver
847,18,102221,1:42.221,13,2011,Jenson Button
847,18,96648,1:36.648,14,2011,Jenson Button
847,18,96589,1:36.589,15,2011,Jenson Button
847,18,92915,1:32.915,16,2011,Jenson Button
847,18,96095,1:36.095,17,2011,Jenson Button
847,18,96312,1:36.312,18,2011,Jenson Button
847,18,122704,2:02.704,19,2011,Jenson Button
847,18,111160,1:51.160,20,2011,Jenson Button
847,18,110778,1:50.778,21,2011,Jenson Button
847,18,105489,1:45.489,22,2011,Jenson Button
847,18,121447,2:01.447,23,2011,Jenson Button
847,18,136959,2:16.959,24,2011,Jenson Button
847,18,7503775,2:05:03.775,25,2011,Jenson Button
847,18,141746,2:21.746,26,2011,Jenson Button
847,18,127009,2:07.009,27,2011,Jenson Button
847,18,122485,2:02.485,28,2011,Jenson Button
847,18,122305,2:02.305,29,2011,Jenson Button
847,18,122075,2:02.075,30,2011,Jenson Button
847,18,120807,2:00.807,31,2011,Jenson Button
847,18,122499,2:02.499,32,2011,Jenson Button
847,18,121563,2:01.563,33,2011,Jenson Button
847,18,119804,1:59.804,34,2011,Jenson Button
847,18,109893,1:49.893,35,2011,Jenson Button
847,18,95486,1:35.486,36,2011,Jenson Button
847,18,185552,3:05.552,37,2011,Jenson Button
847,18,103759,1:43.759,38,2011,Jenson Button
847,18,94723,1:34.723,39,2011,Jenson Button
847,18,91635,1:31.635,40,2011,Jenson Button
847,18,95059,1:35.059,41,2011,Jenson Button
847,18,93158,1:33.158,42,2011,Jenson Button
847,18,91721,1:31.721,43,2011,Jenson Button
847,18,89948,1:29.948,44,2011,Jenson Button
847,18,89475,1:29.475,45,2011,Jenson Button
847,18,89070,1:29.070,46,2011,Jenson Button
847,18,89972,1:29.972,47,2011,Jenson Button
847,18,90182,1:30.182,48,2011,Jenson Button
847,18,89205,1:29.205,49,2011,Jenson Button
847,18,87245,1:27.245,50,2011,Jenson Button
847,18,103330,1:43.330,51,2011,Jenson Button
847,18,90161,1:30.161,52,2011,Jenson Button
847,18,82759,1:22.759,53,2011,Jenson Button
847,18,83911,1:23.911,54,2011,Jenson Button
847,18,80513,1:20.513,55,2011,Jenson Button
847,18,80221,1:20.221,56,2011,Jenson Button
847,18,99809,1:39.809,57,2011,Jenson Button
847,18,106560,1:46.560,58,2011,Jenson Button
847,18,120262,2:00.262,59,2011,Jenson Button
847,18,120304,2:00.304,60,2011,Jenson Button
847,18,80747,1:20.747,61,2011,Jenson Button
847,18,81348,1:21.348,62,2011,Jenson Button
847,18,80369,1:20.369,63,2011,Jenson Button
847,18,81441,1:21.441,64,2011,Jenson Button
847,18,78866,1:18.866,65,2011,Jenson Button
847,18,77967,1:17.967,66,2011,Jenson Button
847,18,77509,1:17.509,67,2011,Jenson Button
847,18,77218,1:17.218,68,2011,Jenson Button
847,18,76956,1:16.956,69,2011,Jenson Button
848,20,110320,1:50.320,1,2011,Sebastian Vettel
848,20,105466,1:45.466,2,2011,Sebastian Vettel
848,20,105186,1:45.186,3,2011,Sebastian Vettel
848,20,105488,1:45.488,4,2011,Sebastian Vettel
848,20,105160,1:45.160,5,2011,Sebastian Vettel
848,20,105033,1:45.033,6,2011,Sebastian Vettel
848,20,104712,1:44.712,7,2011,Sebastian Vettel
848,20,105150,1:45.150,8,2011,Sebastian Vettel
848,20,105030,1:45.030,9,2011,Sebastian Vettel
848,20,105055,1:45.055,10,2011,Sebastian Vettel
848,20,105269,1:45.269,11,2011,Sebastian Vettel
848,20,105315,1:45.315,12,2011,Sebastian Vettel
848,20,106358,1:46.358,13,2011,Sebastian Vettel
848,20,114845,1:54.845,14,2011,Sebastian Vettel
848,20,115873,1:55.873,15,2011,Sebastian Vettel
848,20,104558,1:44.558,16,2011,Sebastian Vettel
848,20,104549,1:44.549,17,2011,Sebastian Vettel
848,20,104108,1:44.108,18,2011,Sebastian Vettel
848,20,104307,1:44.307,19,2011,Sebastian Vettel
848,20,104123,1:44.123,20,2011,Sebastian Vettel
848,20,104191,1:44.191,21,2011,Sebastian Vettel
848,20,103904,1:43.904,22,2011,Sebastian Vettel
848,20,103655,1:43.655,23,2011,Sebastian Vettel
848,20,103399,1:43.399,24,2011,Sebastian Vettel
848,20,103799,1:43.799,25,2011,Sebastian Vettel
848,20,103743,1:43.743,26,2011,Sebastian Vettel
848,20,103857,1:43.857,27,2011,Sebastian Vettel
848,20,104036,1:44.036,28,2011,Sebastian Vettel
848,20,104127,1:44.127,29,2011,Sebastian Vettel
848,20,112827,1:52.827,30,2011,Sebastian Vettel
848,20,114355,1:54.355,31,2011,Sebastian Vettel
848,20,102491,1:42.491,32,2011,Sebastian Vettel
848,20,102771,1:42.771,33,2011,Sebastian Vettel
848,20,102420,1:42.420,34,2011,Sebastian Vettel
848,20,102539,1:42.539,35,2011,Sebastian Vettel
