raceId,year,country,circuitId,grandprix,circuit,lat,lng,milliseconds,datetime,date,url,temp,clouds,wind_speed,wind_deg,weather_before,weather_main,weather_desc,precipitation,weather_during,Scheduled Laps,Laps
971,2017,Bahrain,3,Bahrain Grand Prix,Bahrain International Circuit,26.0325,50.5106,5633374,2017-04-16 15:00:00,2017-04-16,http://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix,24.52,0.0,10.62,336.0,Clear,Clear,clear sky,,Clouds,57,57
972,2017,Russia,71,Russian Grand Prix,Sochi Autodrom,43.4057,39.9578,5288743,2017-04-30 12:00:00,2017-04-30,http://en.wikipedia.org/wiki/2017_Russian_Grand_Prix,19.88,20.0,4.0,270.0,Clouds,Clouds,few clouds,,Clouds,53,52
973,2017,Spain,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,41.57,2.26111,5756497,2017-05-14 12:00:00,2017-05-14,http://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix,24.22,20.0,5.7,120.0,Clouds,Clouds,few clouds,,Clouds,66,66
974,2017,Monaco,6,Monaco Grand Prix,Circuit de Monaco,43.7347,7.42056,6284340,2017-05-28 12:00:00,2017-05-28,http://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix,21.99,20.0,3.1,110.0,Clouds,Clouds,few clouds,,Clouds,78,78
975,2017,Canada,7,Canadian Grand Prix,Circuit Gilles Villeneuve,45.5,-73.5228,5585154,2017-06-11 18:00:00,2017-06-11,http://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix,28.2,100.0,9.8,230.0,Clouds,Clouds,overcast clouds,,Clear,70,70
976,2017,Azerbaijan,73,Azerbaijan Grand Prix,Baku City Circuit,40.3725,49.8533,7435573,2017-06-25 13:00:00,2017-06-25,http://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix,26.03,20.0,5.7,350.0,Clouds,Clouds,few clouds,,Clouds,51,51
977,2017,Austria,70,Austrian Grand Prix,Red Bull Ring,47.2197,14.7647,4908523,2017-07-09 12:00:00,2017-07-09,http://en.wikipedia.org/wiki/2017_Austrian_Grand_Prix,27.19,40.0,5.14,80.0,Clouds,Clouds,scattered clouds,,Clouds,71,71
978,2017,England,9,British Grand Prix,Silverstone Circuit,52.0786,-1.01694,4887430,2017-07-16 12:00:00,2017-07-16,http://en.wikipedia.org/wiki/2017_British_Grand_Prix,20.87,92.0,5.11,258.0,Clouds,Clouds,overcast clouds,,Rain,52,51
979,2017,Hungary,11,Hungarian Grand Prix,Hungaroring,47.5789,19.2486,5986713,2017-07-30 12:00:00,2017-07-30,http://en.wikipedia.org/wiki/2017_Hungarian_Grand_Prix,29.46,0.0,3.1,150.0,Clear,Clear,clear sky,,Clear,70,70
980,2017,Belgium,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,50.4372,5.97139,5082820,2017-08-27 12:00:00,2017-08-27,http://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix,22.24,40.0,2.06,10.0,Clear,Clouds,scattered clouds,,Clouds,44,44
